id;design_code;design_name;design_prefix;related_product_id;location_id
1;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;1;1
2;moratorium moratorium;New York tangible Mississippi;Frozen bus;2;2
3;hard drive Robust Networked;Poland;Small partnerships;3;3
4;Outdoors;Harbor Montana;Corporate Phased relationships;4;4
5;white Brand Money Market Account;Salad Web virtual;Refined Squares;5;5
6;maroon;EXE projection Fresh;support Gorgeous;6;6
7;withdrawal;copying;ability Hat Iraq;7;7
8;magenta Concrete;User-centric Gloves;Mauritania;8;8
9;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;9;9
10;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;10;10
