id;item_code;item_name;item_description;item_price;item_serial;item_supplier_serial;item_cost;original_stock_date;modified_stock_date;image;image_content_type;related_design_id;related_product_id;location_id;uom_id;currency_id
1;Argentine Peso implementation;Wallis and Futuna;generating;86040;Assimilated;compressing;36019;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;1;1;1;1;1
2;South Georgia and the South Sandwich Islands;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;72609;Strategist;card Licensed Cotton Ball;43352;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;2;2;2;2;2
3;Ameliorated;Brand;infomediaries Som Rustic Frozen Keyboard;44235;Optimized;microchip;66019;2019-12-07;2019-12-08;../fake-data/blob/hipster.png;image/png;3;3;3;3;3
4;Operations alarm;e-markets system;Organic;35597;hack;leading-edge;9179;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;4;4;4;4;4
5;solution;Colombian Peso Unidad de Valor Real Bridge Handmade;online e-business;46467;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;85648;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;5;5;5;5;5
6;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;incubate deposit Station;54561;Web revolutionize Branding;teal analyzing yellow;37725;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;6;6;6;6;6
7;Credit Card Account;Handcrafted Plastic Shirt quantifying;wireless;26069;Avon;Rupiah Personal Loan Account HTTP;73507;2019-12-08;2019-12-07;../fake-data/blob/hipster.png;image/png;7;7;7;7;7
8;intermediate Table quantify;Wyoming interface Cotton;quantify;34080;Infrastructure SSL bandwidth;application Configurable iterate;53432;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;8;8;8;8;8
9;monetize superstructure Fantastic;Industrial;bypassing granular Usability;67676;Borders Borders Practical;methodical;32866;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;9;9;9;9;9
10;parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;35091;Frozen Metal program;SDD bypassing;42609;2019-12-08;2019-12-08;../fake-data/blob/hipster.png;image/png;10;10;10;10;10
